"Timestamp (CST)","State","Charging State","Shift State","Battery Level (%)","Usable Battery Level (%)","Battery Range (mi)","Est. Battery Range (mi)","Ideal Battery Range (mi)","Latitude","Longitude","Elevation (m)","Speed (mph)","Power (kW)","Odometer (mi)","Charge Rate (mph)","Current (A)","Charger Power (kW)","Charger Voltage (V)","Charger Phases","Energy Added (kWh)","Rated Range Added (mi)","Ideal Range Added (mi)","Climate","Battery Heater","Inside Temp (°F)","Outside Temp (°F)","Locked","Sentry Mode","Lifetime Energy Used (kWh)","Energy Remaining (kWh)","Pack Current (A)","Pack Voltage (V)","Min Battery Module Temp (°F)","Max Battery Module Temp (°F)"
"2025-07-17 00:00:00","online","Disconnected","R","74","74","197.15",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","86.0","1","1","34143.350","48.04","-0.5","387.69","109.0","113.0"
"2025-07-17 00:01:00","online","Disconnected","R","74","74","197.15",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","86.0","1","1","34143.350","48.02","-0.5","387.69","109.0","112.0"
"2025-07-17 00:02:00","online","Disconnected","R","74","74","197.15",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","86.0","1","1","34143.350","48.02","-0.5","387.69","109.0","111.0"
"2025-07-17 00:03:00","online","Disconnected","R","74","74","197.15",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","86.0","1","1","34143.350","48.02","-0.5","387.69","109.0","110.0"
"2025-07-17 00:04:00","online","Disconnected","R","74","74","197.15",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","86.0","1","1","34143.350","48.02","-0.4","387.69","109.0","110.0"
"2025-07-17 00:05:00","online","Disconnected","R","74","74","197.15",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","86.0","1","1","34143.350","48.02","-0.4","387.69","109.0","111.0"
"2025-07-17 00:06:00","online","Disconnected","R","74","74","197.15",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","86.0","1","1","34143.350","48.02","-0.5","388.03","109.0","111.0"
"2025-07-17 00:07:00","online","Disconnected","R","74","74","197.07",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","86.0","1","1","34143.350","48.00","-0.5","388.03","109.0","112.0"
"2025-07-17 00:08:00","online","Disconnected","R","74","74","196.99",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","86.0","1","1","34143.350","48.00","-0.4","388.03","109.0","112.0"
"2025-07-17 00:09:00","online","Disconnected","R","74","74","196.99",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","86.0","1","1","34143.350","48.00","-0.4","388.03","108.0","113.0"
"2025-07-17 00:10:00","online","Disconnected","R","74","74","196.99",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","86.0","1","1","34143.540","47.99","-0.4","387.86","108.0","113.0"
"2025-07-17 00:12:00","online","Disconnected","R","74","74","196.99",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","86.0","1","1","34143.540","47.97","-0.5","387.86","108.0","113.0"
"2025-07-17 00:14:00","online","Disconnected","R","74","74","196.99",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","86.0","1","1","34143.540","47.96","-0.5","387.86","108.0","113.0"
"2025-07-17 00:15:00","online","Disconnected","R","74","74","196.99",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","86.0","1","1","34143.540","47.96","-0.5","387.52","108.0","113.0"
"2025-07-17 00:16:00","online","Disconnected","R","74","74","196.99",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","86.0","1","1","34143.540","47.94","-0.5","387.52","108.0","113.0"
"2025-07-17 00:17:00","online","Disconnected","R","74","74","196.99",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","84.0","1","1","34143.540","47.94","-0.5","387.52","108.0","112.0"
"2025-07-17 00:18:00","online","Disconnected","R","74","74","196.90",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","84.0","1","1","34143.540","47.94","-0.6","387.52","108.0","112.0"
"2025-07-17 00:20:00","online","Disconnected","R","74","74","196.82",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","84.0","1","1","34143.540","47.93","-0.5","387.82","108.0","112.0"
"2025-07-17 00:22:00","online","Disconnected","R","74","74","196.82",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","84.0","1","1","34143.540","47.92","-0.5","387.82","108.0","110.0"
"2025-07-17 00:24:00","online","Disconnected","R","74","74","196.82",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","84.0","1","1","34143.540","47.92","-0.5","387.82","107.0","109.0"
"2025-07-17 00:25:00","online","Disconnected","R","74","74","196.82",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","84.0","1","1","34143.540","47.92","-0.4","387.44","107.0","109.0"
"2025-07-17 00:26:00","online","Disconnected","R","74","74","196.82",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","84.0","1","1","34143.540","47.92","-0.4","387.44","107.0","110.0"
"2025-07-17 00:27:00","online","Disconnected","R","74","74","196.82",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","84.0","1","1","34143.540","47.92","-0.4","387.44","107.0","111.0"
"2025-07-17 00:28:00","online","Disconnected","R","74","74","196.82",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","84.0","1","1","34143.540","47.92","-0.5","387.44","107.0","111.0"
"2025-07-17 00:30:00","online","Disconnected","R","74","74","196.82",,,"39.177100","-84.429360","227","0",,"67626.98",,"0","0.00","2",,"0.00","0.00","0.00","0","0","84.0","84.0","1","1","34143.540","47.92","-0.5","387.45","107.0","111.0"
